Judul,Label
“kedzoliman rezim pasti terkuak”,1
“Ternyata Sandiaga Salahuddin Uno ( SANDI ) Punya Gelar Professor tetapi tidak dipakainya”,1
Klarifikasi TNI-Polri Terhadap Tudingan Melakukan Penyanderaan Rombongan Tim Evakuasi Kemanusiaan dan Pemda Nduga,0
Program Pinjaman Dana Oleh PT PNM (Persero),1
"“SRI MULYANI: YANG TERIMA GAJI GURU TETAP, YANG CAPEK MENGAJAR MALAH HONORER”",1
Koalisi PKI – P,1
BMKG Papua Mengklarifikasi Isu Akan Terjadi Tsunami di Papua,0
The Jakmania dan Suporter Semen Padang Dukung Jokowi-Ma’ruf Amin Dalam Pilpres 2019,1
"KPK Tidak Melakukan OTT di Pontianak, Kalimantan Barat",0
"Ketua KPU, Arief Budiman Terpilih Walau Suara Terkecil",1
CNN Indonesia: “Bank Dunia Akui Laporan Infrastruktur Jokowi Belum Final”,0
TERJADI AKSI BUNUH DIRI DI KAWASAN SUKOHARJO,1
Potensi Gelombang Tsunami di Tapanuli Sumatera Utara,1
Kominfo Akan Blokir Game Online,1
Ustaz Arifin Ilham Berobat Ke Malaysia Naik Jet Pribadi Milik Prabowo,1
“Ayo diralat lagi Kebijakannya”,1
“Panglima TNI salam dua jari biarkan cebong bunuh diri”,1
“Lagi heboh hari ini #putihkansolo”,1
Cek Fakta Pidato Kebangsaan Prabowo Subianto,0
Pemegang Flyer Bernama Pujiastuti Hastasiwi,1
Tidak Ada Teman Satu Kelas atau Satu Angkatan Kuliah di Fakultas Kehutanan UGM yang Memberikan Testimoni tentang Jokowi,1
"Usai Pidato Kebangsaan, Hasil Survei Prabowo – Sandi 67,8%",1
“Sudah menyebar didiamkan pula”,1
“udeh kronis amat ame 2JARI”,1
“Prabowo Ogah Tes Baca Al Quran Tapi Pilih Pesta Wine Joget Hura-hura?”,1
MEGAWATI MINTA JOKOWI PECAT ANGGOTA TNI YANG MERAZIA BUKU BERBAU KOMUNIS.,1
“Saya kira ini tanda-tanda”,1
“Jadi yang Antek Jongos dan Budak Asing itu siapa?”,1
SURAT UNDANGAN WORKSHOP PENDUKUNG JABATAN FUNGSIONAL PERENCANAAN (WORKSHOP PAK-APAK),1
"Jokowi Bilang “PKI Tidak Bersalah, apalagi Mengancam”",1
Kapten Leo Sianturi Ditelantarkan Rumah Sakit TNI,1
“Keluarga Gusdur mendukung penuh calon President 01”,1
Penjelasan Terkait Beredarnya Foto Kartu E-Money Prabowo-Sandi,0
